antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({np.str_('Bananas')}),"frozenset({np.str_('Apples'), np.str_('Coffee')})",0.3092635212888377,0.09867663981588032,0.03481012658227848,0.11255813953488372,1.1406766560444777,1.0,0.004293041483869005,1.0156421511508686,0.1785447523586936,0.09329221279876639,0.015401242586420628,0.23266390941758763
"frozenset({np.str_('Apples'), np.str_('Coffee')})",frozenset({np.str_('Bananas')}),0.09867663981588032,0.3092635212888377,0.03481012658227848,0.3527696793002915,1.1406766560444777,1.0,0.004293041483869005,1.0672189738645435,0.13682922132563782,0.09329221279876639,0.06298517503032629,0.23266390941758763
frozenset({np.str_('Bread')}),"frozenset({np.str_('Juice'), np.str_('Butter')})",0.29516685845799767,0.07968929804372843,0.026467203682393557,0.08966861598440547,1.1252278309090014,1.0,0.002945563926103175,1.0109622914423282,0.1578970718722271,0.07597027250206442,0.01084342268264876,0.2108992899416612
"frozenset({np.str_('Juice'), np.str_('Butter')})",frozenset({np.str_('Bread')}),0.07968929804372843,0.29516685845799767,0.026467203682393557,0.33212996389891697,1.1252278309090014,1.0,0.002945563926103175,1.0553447578764037,0.1209277355695394,0.07597027250206442,0.05244234878066754,0.2108992899416612
"frozenset({np.str_('Bananas'), np.str_('Coffee')})",frozenset({np.str_('Apples')}),0.09838895281933256,0.3147295742232451,0.03481012658227848,0.3538011695906433,1.1241433871088446,1.0,0.003844213353178992,1.0604637358174218,0.12248492935387412,0.09201520912547528,0.05701631632958693,0.23220223013353006
frozenset({np.str_('Apples')}),"frozenset({np.str_('Bananas'), np.str_('Coffee')})",0.3147295742232451,0.09838895281933256,0.03481012658227848,0.11060329067641682,1.1241433871088446,1.0,0.003844213353178992,1.0137332842915212,0.16115355524560934,0.09201520912547528,0.013547236244806917,0.23220223013353006
frozenset({np.str_('Tea')}),"frozenset({np.str_('Cheese'), np.str_('Apples')})",0.2940161104718067,0.09551208285385501,0.03135788262370541,0.10665362035225048,1.1166505552542851,1.0,0.003275791519954021,1.0124716881964513,0.14797036106562575,0.08755020080321285,0.012318061178251481,0.2174834366821493
"frozenset({np.str_('Cheese'), np.str_('Apples')})",frozenset({np.str_('Tea')}),0.09551208285385501,0.2940161104718067,0.03135788262370541,0.32831325301204817,1.1166505552542851,1.0,0.003275791519954021,1.0510612166966824,0.11549594976305523,0.08755020080321285,0.04858063059082287,0.2174834366821493
"frozenset({np.str_('Cheese'), np.str_('Tea')})",frozenset({np.str_('Apples')}),0.08947065592635213,0.3147295742232451,0.03135788262370541,0.3504823151125402,1.1135982882369193,1.0,0.003198821178530143,1.0550450614681721,0.1120338565444875,0.08410493827160495,0.05217318527757755,0.22505834219978016
frozenset({np.str_('Apples')}),"frozenset({np.str_('Cheese'), np.str_('Tea')})",0.3147295742232451,0.08947065592635213,0.03135788262370541,0.09963436928702012,1.1135982882369193,1.0,0.003198821178530143,1.0112884288493103,0.14886110661767546,0.08410493827160495,0.011162422635602503,0.22505834219978016
