shipment_id,supplier_id,component_id,route,carrier,ship_date,scheduled_delivery,actual_delivery,delay_days,delay_cause,delayed,supplier_name,region,reliability_score,avg_lead_time,component_name,category,criticality,avg_cost
SH0001,SUP001,C005,West,DTDC,2025-06-11,2025-06-20,2025-06-20,0,None,No,Alpha Ltd,US,0.87,7,Pump,Mechanical,High,239
SH0002,SUP002,C005,West,Amazon Logistics,2025-07-03,2025-07-09,2025-07-09,0,None,No,Beta Co,India,0.81,6,Pump,Mechanical,High,239
SH0003,SUP002,C004,East,DTDC,2025-09-28,2025-10-01,2025-10-01,0,None,No,Beta Co,India,0.81,6,Bearing,Electrical,High,320
SH0004,SUP002,C004,West,Amazon Logistics,2025-01-02,2025-01-07,2025-01-07,0,None,No,Beta Co,India,0.81,6,Bearing,Electrical,High,320
SH0005,SUP005,C006,East,Amazon Logistics,2025-02-05,2025-02-08,2025-02-08,0,None,No,Epsilon Exports,US,0.76,7,Controller,Mechanical,Low,495
SH0006,SUP005,C002,North,DTDC,2025-05-16,2025-05-22,2025-05-24,2,Weather,Yes,Epsilon Exports,US,0.76,7,Sensor,Electrical,Medium,219
SH0007,SUP005,C003,North,Amazon Logistics,2025-02-25,2025-03-01,2025-03-01,0,None,No,Epsilon Exports,US,0.76,7,Valve,Electrical,High,237
SH0008,SUP005,C006,South,Delhivery,2025-02-16,2025-02-23,2025-02-23,0,None,No,Epsilon Exports,US,0.76,7,Controller,Mechanical,Low,495
SH0009,SUP005,C005,East,Delhivery,2025-04-28,2025-05-04,2025-05-04,0,None,No,Epsilon Exports,US,0.76,7,Pump,Mechanical,High,239
SH0010,SUP005,C005,South,Delhivery,2025-05-21,2025-05-30,2025-05-30,0,None,No,Epsilon Exports,US,0.76,7,Pump,Mechanical,High,239
SH0011,SUP004,C002,East,Amazon Logistics,2025-03-01,2025-03-10,2025-03-10,0,None,No,Delta Corp,US,0.63,8,Sensor,Electrical,Medium,219
SH0012,SUP005,C003,South,Amazon Logistics,2025-01-26,2025-01-29,2025-01-29,0,None,No,Epsilon Exports,US,0.76,7,Valve,Electrical,High,237
SH0013,SUP001,C006,West,BlueDart,2025-06-20,2025-06-26,2025-06-26,0,None,No,Alpha Ltd,US,0.87,7,Controller,Mechanical,Low,495
SH0014,SUP003,C001,North,BlueDart,2025-08-04,2025-08-12,2025-08-12,0,None,No,Gamma Industries,Asia,0.76,5,Motor,Electrical,Medium,108
SH0015,SUP003,C005,North,Delhivery,2025-09-11,2025-09-17,2025-09-17,0,None,No,Gamma Industries,Asia,0.76,5,Pump,Mechanical,High,239
SH0016,SUP005,C004,North,Delhivery,2025-01-14,2025-01-23,2025-01-27,99,Traffic,Yes,Epsilon Exports,US,0.76,7,Bearing,Electrical,High,320
SH0017,SUP004,C004,South,BlueDart,2025-09-19,2025-09-23,2025-09-23,0,None,No,Delta Corp,US,0.63,8,Bearing,Electrical,High,320
SH0018,SUP003,C001,West,Delhivery,2025-05-21,2025-05-27,2025-05-27,0,None,No,Gamma Industries,Asia,0.76,5,Motor,Electrical,Medium,108
SH0019,SUP002,C002,West,Amazon Logistics,2025-02-21,2025-03-02,2025-03-02,0,None,No,Beta Co,India,0.81,6,Sensor,Electrical,Medium,219
SH0020,SUP004,C005,South,Delhivery,2025-06-26,2025-07-05,2025-07-05,0,None,No,Delta Corp,US,0.63,8,Pump,Mechanical,High,239
